School_ID,NAME_OF_SCHOOL,"Elementary, Middle, or High School",HEALTHY_SCHOOL_CERTIFIED,Safety_Icon,SAFETY_SCORE,Family_Involvement_Icon,Family_Involvement_Score,Environment_Icon,Environment_Score,Instruction_Icon,Instruction_Score,Leaders_Icon,Leaders_Score,Teachers_Icon,Teachers_Score,AVERAGE_STUDENT_ATTENCE,COLLEGE_ENROLLMENT,COMMUNITY_AREA_NUMBER
609913,Elaine O Goodlow Elementary Magnet School,ES,FALSE,Average,44,Average,42,Average,52,Average,56,Weak,35,Weak,28,91.60%,419,67
610233,Elihu Yale Elementary School,ES,FALSE,Weak,29,Weak,35,Average,43,Average,50,Weak,,,,89.70%,182,69
610227,Eli Whitney Elementary School,ES,TRUE,Average,44,,,Average,49,Average,53,Weak,,,,95.80%,1133,30
610195,Elizabeth H Sutherland Elementary School,ES,FALSE,Very Strong,86,,,Strong,64,Average,59,Weak,,,,95.60%,762,72
610119,Elizabeth Peabody Elementary School,ES,FALSE,Average,51,Average,58,Average,50,Strong,61,Weak,57,Average,55,95.20%,289,24
609852,Eliza Chappell Elementary School,ES,FALSE,Strong,70,Strong,65,Average,53,Average,51,Weak,56,Average,48,95.10%,451,4
610235,Ella Flagg Young Elementary School,ES,FALSE,Weak,31,,,Average,44,Average,50,Weak,,,,94.30%,1111,25
609682,Ellen H Richards Career Academy High School,HS,FALSE,Weak,30,Weak,23,Weak,32,Very Weak,19,Weak,42,Weak,34,90.60%,473,61
610073,Ellen Mitchell Elementary School,ES,FALSE,Very Strong,99,Strong,64,Very Strong,95,Very Strong,95,Weak,81,Very Strong,90,95.50%,344,24
609712,Emil G Hirsch Metropolitan High School,HS,FALSE,Very Weak,13,Average,46,Weak,28,Weak,28,Weak,52,Average,50,84.80%,458,69
609973,Emiliano Zapata Elementary Academy,ES,FALSE,Strong,60,Average,52,Average,43,Average,42,Weak,73,Strong,79,96.60%,988,30
610065,Emmett Louis Till Math and Science Academy,ES,FALSE,Weak,31,Weak,31,Average,47,Average,40,Weak,49,Average,42,88.00%,471,42
609916,Enrico Fermi Elementary School,ES,FALSE,Weak,30,Average,42,Strong,65,Strong,63,Weak,42,Average,47,89.90%,238,43
610203,Enrico Tonti Elementary School,ES,FALSE,,,Average,44,,,,,Weak,47,Average,54,95.80%,1021,63
610543,Eric Solorio Academy High School,HS,FALSE,Strong,67,Average,54,Average,53,Strong,63,Weak,62,Strong,64,92.20%,581,63
610137,Ernst Prussing Elementary School,ES,FALSE,Strong,71,,,Average,49,Average,42,Weak,,,,95.40%,672,15
609908,Esmond Elementary School,ES,FALSE,Weak,36,,,Average,49,Average,43,Weak,,,,92.90%,342,75
609918,Eugene Field Elementary School,ES,FALSE,Average,42,Weak,33,Average,47,Weak,37,Weak,21,Very Weak,8,96.80%,375,1
609874,Everett McKinley Dirksen Elementary School,ES,FALSE,Average,44,,,Very Weak,12,Very Weak,1,Weak,,,,95.90%,786,76
610319,Evergreen Academy Middle School,MS,FALSE,Strong,60,Average,58,Average,47,Average,44,Weak,59,Strong,65,96.10%,389,59
610057,Fairfield Elementary Academy,ES,FALSE,Weak,31,Weak,24,Average,41,Weak,34,Weak,45,Weak,25,93.40%,604,66
610541,Federico Garcia Lorca Elementary School,ES,FALSE,Average,53,Average,58,Average,53,Average,58,Weak,74,Very Strong,82,96.80%,860,21
610308,Wilma Rudolph Elementary Learning Center,ES,FALSE,,,,,,,,,Weak,,,,80.00%,100,28
610120,Ferdinand Peck Elementary School,ES,FALSE,Average,51,Average,43,Average,43,Average,47,Weak,32,Weak,37,96.30%,1560,62
609917,Fernwood Elementary School,ES,FALSE,Weak,29,Weak,37,Very Weak,17,Average,43,Weak,39,Average,50,93.40%,344,73
610258,Florence B Price Elementary School,ES,FALSE,Weak,20,,,Weak,37,Average,46,Weak,,,,90.00%,112,39
610096,Florence Nightingale Elementary School,ES,FALSE,Weak,35,Average,54,Average,40,Average,48,Weak,68,Strong,72,95.60%,1382,63
609924,Fort Dearborn Elementary School,ES,FALSE,Weak,34,,,Strong,61,Strong,71,Weak,,,,93.40%,478,73
609927,Foster Park Elementary School,ES,FALSE,Very Weak,11,Average,41,Weak,20,Weak,22,Weak,50,Average,46,93.70%,418,71
610215,Francisco I Madero Middle School,MS,TRUE,Average,49,Weak,32,Average,48,Average,47,Weak,49,Weak,34,95.10%,314,30
610067,Francis M McKay Elementary School,ES,FALSE,Weak,23,Average,48,Weak,37,Average,54,Weak,67,Strong,61,93.50%,891,66
610114,Francis Parkman Elementary School,ES,FALSE,Weak,38,Weak,25,Average,45,Weak,39,Weak,20,Weak,28,90.60%,224,37
610020,Francis Scott Key Elementary School,ES,FALSE,Weak,37,,,Average,49,Strong,64,Weak,,,,91.90%,301,25
610112,Francis W Parker Elementary Community Academy,ES,FALSE,Weak,30,,,Average,53,Average,57,Weak,,,,91.90%,808,68
609800,Frank I Bennett Elementary School,ES,FALSE,Average,46,Average,46,Average,55,Strong,66,Weak,55,Average,56,92.50%,504,49
609939,Frank L Gillespie Elementary School,ES,FALSE,Weak,27,,,Weak,30,Average,45,Weak,,,,91.90%,609,49
